49214,47687,49121,49969,50387,50689,53480,51979,53402,54012,54822,54290,56556,57201,57537,58021,58342,58227,59244,59479,59356,58790,60044,56859,58004,57931,58300,56356,56038,55777,55529,55544,56774,54814,55810,55703,55098,54807,54255,54083,53875,52814,53088,53265,52830,53571,52505,48723,21733,17043,16987,16228,16301,15618,34528,50039,50251,50185,50365,50505,51426,51207,51821,51031,51686,50905,49378,51292,52529,50871,52140,51190,51077,49348,52029,51360,52130,52159,52320,51035,52308,51428,51476,49813,50539,48794,48602,47305,46968,45183,42274,41098,38903,34879,33640,30788,28531,25519,23690,21067,19845,18026,17603,17060,17176,16420,17228,16427,17777,17172,18990,17825,18878,17665,19250,18528,19477,19283,20843,20668,22356,23150,25298,26158,29512,30136,35723,37227,
48472,47891,49136,50314,50590,50851,53746,52179,53471,54209,54981,54709,56767,57213,57321,57297,58598,58141,59425,59389,59824,59033,60648,57268,58203,58179,58604,56686,56540,56192,56123,56151,57010,55255,56140,55801,55465,55315,54343,54230,53983,53205,53467,53494,53052,54021,52845,52731,45531,18969,17001,16245,16196,15465,16277,38931,50278,50101,50342,50554,51384,51200,51802,51057,51863,50803,50244,51098,52446,50579,51971,50378,49783,49264,47833,44998,43247,40538,37888,34132,32553,28467,26546,22819,21023,17968,17128,15641,15905,15289,15538,15018,15638,14586,15665,15187,15676,15085,15998,15529,16260,15864,16774,16968,18552,19357,21611,23051,26344,28398,31485,34032,36982,38643,42439,43873,46348,47872,49371,49734,50433,50512,49602,49462,49638,46841,47600,45591,
49433,48173,49140,50057,50586,50952,53699,52208,53613,54185,55110,54936,56832,57483,57870,58392,58814,58646,59733,59455,60009,59622,61086,57468,59022,59024,59540,57362,57213,56842,56713,56768,57782,55652,56510,56429,55786,55330,54865,54755,54576,53433,53695,53627,53137,53999,52859,52695,52141,50593,29561,16344,16278,15323,15767,14835,18075,27053,24653,21519,19777,17133,16719,15764,16354,15545,16158,15537,16467,15287,16018,15349,15855,15188,16105,15315,16296,15777,16315,15492,16718,16036,17064,16899,19035,20089,22836,24900,28475,31062,33825,37036,40399,41836,45692,48179,50678,51807,53538,54796,55286,56002,54970,57251,57866,57878,57569,56966,57915,58149,57726,57230,57355,55778,57244,55720,55739,54949,54479,53223,52790,52259,50559,49867,50171,47383,48042,45620,
47523,47753,48983,50263,51149,50738,53734,50978,53637,54420,55123,55024,56221,57560,57780,58325,58604,58604,59358,58932,58601,56529,54766,48071,46246,41418,38425,33428,29621,25489,24381,22200,21628,19561,20270,19647,19891,19397,19585,18884,19353,18535,19226,18904,19278,19205,19285,19104,20942,22418,24761,27567,27321,16109,15981,15002,15364,14723,15700,41157,50567,51013,51711,51187,52010,51092,50829,51877,53213,51341,52699,51705,51643,51199,52924,52064,52971,52819,53292,51940,53510,52216,52656,50932,51864,50728,51051,50832,52185,52468,51797,53372,53749,52428,54070,55120,55003,54574,54771,55687,56148,56240,55131,57304,57979,57762,57764,57096,58090,58176,57732,57282,57265,55912,56964,55827,55650,55102,54833,53687,53082,52445,50856,50327,50414,47811,48355,46306,
48765,45760,49145,50174,50836,50031,50519,46064,43652,39739,36676,31963,29146,24917,23157,21383,21785,21747,22939,22735,23905,23121,24666,22620,25637,22855,24056,23066,23872,23751,26367,28725,33266,35382,39967,43516,46907,50252,52721,54277,54734,53856,54201,54357,53959,55011,53777,54056,53836,53533,53187,54196,52726,48672,19842,15261,15458,14748,15321,14986,29058,51325,52308,51677,52492,51772,51164,52081,53385,51744,53201,52642,52079,51723,53131,52479,53308,53308,53548,52173,53707,52785,53069,51330,52386,50980,51450,51293,52538,53129,52144,53788,53935,53016,54720,54937,55394,55081,55404,56171,56331,56812,55588,57727,58419,58412,58249,57283,58560,58605,58170,57694,57645,56336,57854,56019,55939,55410,54634,53813,53443,52736,51164,50500,51096,47798,48787,46505,
23468,25281,25269,23083,23277,21302,24509,23226,24274,23409,24447,23410,24335,23820,25866,28454,33329,37506,43356,47670,52673,55564,59934,57687,59355,59270,60292,58080,58164,57807,57774,57612,58935,56747,57680,57347,56773,56405,55958,55762,55524,54592,54650,54870,54409,55299,54084,54349,54143,53861,53416,54350,52950,52805,52397,25674,15654,13891,15497,14970,15783,19916,50373,51856,52625,51798,51409,52228,53722,52256,53448,52481,52266,51994,53580,52669,53621,53642,53760,52424,53882,52943,53000,51409,52640,51222,51769,51507,52538,53173,52396,54078,54398,53094,54660,55169,55557,55140,55715,56248,56354,57162,55699,57831,57389,58539,58364,57418,58726,58689,58218,57812,57842,56238,57833,56249,56133,55459,54800,53915,53309,52692,51279,50693,50865,48015,48957,46675,
27424,25380,25421,23485,23501,23314,28208,31169,36073,40490,44418,48349,54026,56916,58449,59377,60156,59590,61051,60831,61280,60856,62426,59163,60114,60191,60661,58837,58611,58260,58105,58091,59209,57036,58187,57891,57173,57007,56381,56154,56263,55065,55384,55336,54910,56105,54761,54782,54600,54281,53911,54490,53424,53225,53347,49990,21044,15394,15656,15158,15874,15332,26308,51427,52839,52035,51651,52600,54066,52308,53578,52923,52830,52331,53826,53273,53938,54072,54144,52896,54439,53340,53616,51798,52961,51548,51051,51775,53033,53450,52517,54356,54659,53377,55070,55217,55671,55247,55864,56652,56768,57300,56094,58240,58847,58776,58789,57827,59010,58995,58476,58054,58110,56547,58224,56473,56327,55688,55270,54178,53664,53100,51780,51019,51368,48409,49551,46651,
37096,36669,38100,41665,45595,48750,53772,53034,55748,55688,56127,56126,58236,58887,59376,59808,60342,59920,61389,61169,61805,61218,62663,59202,60125,60498,60844,58708,58511,58501,58282,58234,59192,57291,58272,58038,57261,57280,56769,56215,56121,55315,55564,55663,55306,56153,54997,54789,54759,54652,54190,54396,53511,53413,53727,52713,46019,17211,15994,15277,16073,15281,16141,34223,52830,52352,51810,52668,54183,52439,53979,52847,52869,52521,54054,53480,54168,54216,54352,53125,54681,53715,53761,52088,53166,51837,52136,52233,53277,53722,52937,54574,55098,53797,55190,55564,55359,55712,56056,56814,56800,57340,56151,58416,59363,58990,58794,57816,58986,59220,58557,58030,58322,56641,58224,56649,56632,56028,55452,54409,53994,53497,51910,51357,51732,48565,49436,47258,
48191,48763,50749,52925,52075,52491,55509,53897,55707,56429,57080,56936,58763,59637,60129,60568,61091,60752,61831,61776,62229,61705,63239,59959,61086,61017,61374,59447,59302,59115,58950,58728,60170,58017,59027,58615,58114,58102,57181,56825,56870,55953,56119,56179,55828,56889,55712,55582,55443,55237,54780,55750,54151,54124,54268,53231,52991,46989,18030,15503,16241,15394,16080,15478,33980,52550,52192,53225,54702,52865,54358,53498,53178,53001,54492,53880,54716,54758,54974,53701,55315,54307,54235,52729,53732,52343,52649,52663,53637,54293,53458,55056,55514,54180,55907,56059,56809,56282,56699,57136,57441,57988,56648,58959,59716,59493,59383,58567,59715,59652,59265,58833,58754,57388,58791,57232,57274,56629,56336,55286,54716,54206,52578,51950,52145,49102,50103,47710,
49077,49492,50867,52000,52570,52794,55659,54305,55945,56834,57429,57059,59408,60084,60501,60927,61528,61206,62250,62106,62688,62169,63730,60275,61405,61419,61747,59688,59477,59514,59110,59205,59334,58184,59095,58918,58290,58332,57527,57261,56841,56061,56508,56372,56151,57029,55981,56015,55880,55278,54978,56114,54574,54419,54587,53536,53516,53263,52191,24026,16489,15677,16131,15492,16123,22715,51420,53321,54845,53089,54716,53772,53464,53279,54816,54183,55029,55075,55003,53827,55389,54315,54500,52832,54000,52613,52862,52872,53905,54660,53534,55264,55685,54268,56160,56446,56997,56648,57010,57591,57759,58167,56960,59250,59961,59834,59673,58795,59863,60024,59544,59200,59403,57922,59419,57922,57783,57470,56859,55900,55783,54778,53197,52520,52566,49807,50480,48123,
50718,49508,51010,52168,52701,52318,56086,54607,56203,57174,57752,57720,59520,60543,60828,61477,61764,61537,62739,62614,63110,62443,64062,60659,61607,61603,62010,60037,59739,59627,59481,59502,60634,58491,59600,59110,58787,58807,57849,57704,57619,56491,56810,56989,56507,57479,55806,56239,56205,56212,55502,56492,54809,54846,54857,53948,53725,53571,53534,53431,32158,15830,16153,15191,15906,15028,18165,49781,54781,53197,54578,53975,53670,53249,55025,54444,55247,55243,55315,53953,55680,54255,54815,53333,54078,52904,53300,53222,54339,54876,54280,55819,56276,54870,56707,56951,57241,56999,57287,57929,58252,58682,57506,59830,60469,60539,60479,59667,60632,60849,60477,59921,60040,58636,60331,58678,58671,58009,57501,56520,56003,55251,53657,52886,53248,49929,50673,48512,
51673,50143,51497,53541,53188,53768,57041,55328,56745,57701,58398,58256,60397,61063,61446,61994,62593,62065,63371,62978,63566,63142,64551,61087,62489,62356,62752,60542,60423,60367,60187,60032,61170,59179,60187,59930,59324,59282,58267,58434,58267,57249,57321,57497,56592,57891,56920,57786,56361,56186,56073,56914,55528,55360,55528,54643,54375,54083,54327,54293,54901,28449,16543,15601,16100,15079,15587,19934,53325,53782,55206,54511,54456,54138,55832,55199,55946,55756,56133,54792,56469,55491,55723,54068,55093,53829,54047,53892,54986,55603,54796,56796,57149,55590,57440,57788,58242,57993,58392,59137,59360,59806,58257,60846,61741,61504,61418,60543,61795,61848,61440,60975,61004,59471,60845,59572,59205,58582,58176,56977,56474,55924,54043,53337,53623,50457,51225,48541,
50787,49989,51414,52887,53255,53521,56729,55029,56849,57742,58702,58394,60508,62830,61824,62234,62832,62327,63493,63429,63794,63120,64882,61340,62399,62424,62688,60689,60657,60490,60314,60088,61366,59186,60120,60031,59461,59405,58608,58581,58329,57369,57482,57618,56819,58358,57267,57248,57078,56910,56252,57184,55763,55729,55826,54768,54922,54528,54596,54764,55537,54053,23896,15713,16337,15312,15802,15280,25725,53426,55588,54761,54718,54383,56168,55442,56218,56436,56476,55204,56860,55820,56064,54297,55267,54158,54439,54125,55633,56235,55139,57106,57493,56124,57832,58152,58724,58351,58811,59711,59879,60091,58827,61322,61194,61970,61802,60840,62059,62241,61602,61145,60964,59493,60907,59289,59300,58680,58017,56837,56312,55724,54080,53373,53487,50370,51202,48493,

